Size,Weight,Sweetness,Softness,HarvestTime,Ripeness,Acidity,Quality
-1.9249682,0.46807805,3.0778325,-1.4721768,0.2947986,2.4355695,0.27129033,Good
-2.4097514,0.48686993,0.34692144,-2.4950993,-0.8922133,2.0675488,0.30732512,Good
-0.3576066,1.4831762,1.5684522,-2.6451454,-0.64726734,3.0906434,1.427322,Good
-0.8685235,1.5662014,1.8896049,-1.2737614,-1.0062776,1.8730015,0.47786173,Good
0.65182525,1.3191992,-0.022458995,-1.2097088,-1.430692,1.0783454,2.8124418,Good
-2.8077223,1.1381357,3.4476268,-1.7133021,-2.2209115,2.07941,2.2812028,Good
-0.23020804,2.7834713,1.6811839,-0.52977854,-1.9584678,1.3481431,2.1817663,Good
-1.3485153,3.2322812,4.0118165,-0.89060634,-0.031993963,2.3959174,1.0428779,Good
-2.0122256,1.9280338,0.69874644,-0.95977193,-1.3497207,1.3118018,1.048762,Good
0.05303478,1.3099926,-0.26413944,-2.9692972,0.30398348,3.8893588,1.9313319,Good
-1.5878931,1.4466584,0.13883868,-2.8589776,-1.7612225,2.4337273,1.7631273,Good
-2.0318587,1.3767682,2.2734401,-2.2057126,0.41215587,3.757726,3.1004484,Good
2.0621698,1.5615295,2.5703752,-1.8647795,-0.44219488,2.2499652,4.70331,Good
-0.8612225,1.4269999,3.349791,-0.022131119,-1.8131022,-0.07608548,0.37977022,Good
-4.1782064,-1.4760928,-3.2664933,-5.056084,-3.8299162,4.167432,-0.4254814,Good
0.6720292,0.5434333,0.09294259,-3.9155004,-0.22510463,3.3923051,-0.2020209,Good
-1.9652935,-0.06748736,2.6001945,-1.7930973,-1.6579864,1.0869076,2.335015,Good
-0.075078644,-0.32328963,1.400618,-3.2961037,-0.30071628,4.6619506,3.7652652,Good
-1.3775163,2.1693177,-0.15365404,-1.4166676,-1.5577567,1.2197089,-0.90748984,Good
-2.6386886,1.1865532,-1.4018704,-3.7368288,-2.0294611,4.8920465,3.2929387,Good
-0.9311694,1.1777104,0.89091116,-1.8020406,-2.1664832,1.5169458,1.8993784,Good
-3.8369079,0.5578959,0.13221027,-2.521762,-2.236847,1.8079835,2.7550628,Good
-2.6858735,1.8199899,-1.9306365,-3.2482877,-2.349118,2.7094333,0.82303256,Good
-0.8328398,0.6344345,2.8857996,-1.018919,-1.476629,0.09706835,1.8400067,Good
-3.1228814,0.10179654,0.22803372,-2.9720967,-4.207438,2.5808916,1.7806565,Good
-3.0034049,1.0087419,-1.1234081,-3.7168279,-0.1062249,2.819539,0.9773285,Good
-2.6829426,2.4876592,0.37213984,-0.6544591,-2.6873171,-1.0071023,0.96581537,Good
-1.1208215,1.9597522,4.935457,0.39535955,0.85833013,0.108647116,4.072192,Good
-0.47838327,1.2760094,2.0892775,-0.27186796,-0.9304542,1.2834822,3.8400788,Good
-0.86329377,1.5216107,0.65520644,-1.7112573,-1.2056047,1.1121173,1.385283,Good
-0.29425454,4.1651745,4.116252,1.1000674,-0.51583266,0.031105503,3.9153466,Good
-2.0997488,2.6557343,3.7363532,0.026017938,-1.4914467,1.6045741,1.566754,Good
-0.6290621,-0.11900727,-0.9646924,-3.32293,-0.81536734,3.2947304,2.7460663,Good
0.041476723,2.0088277,1.4025054,-2.9866266,-1.0982995,3.0836601,2.562751,Good
0.12703153,0.9620107,3.0475273,-0.9861873,-1.6270043,0.6567175,1.1196171,Good
-1.2031333,0.97479504,-0.6503354,-1.150843,-2.3666263,0.8485617,0.8182539,Good
-4.211566,1.5446515,-0.3322268,-2.151898,-0.99462783,2.921428,4.4979033,Good
-1.3989041,3.9393508,-0.27173197,-2.2843776,0.09796421,3.2916296,3.144834,Good
1.3131926,3.1774974,3.1416597,-1.8903553,0.906839,1.9823018,1.7829945,Good
-1.0486193,2.855341,2.9560695,-0.21022905,-1.1585953,-0.76327646,2.417499,Good
-2.1489315,0.37268108,5.752867,-1.2867559,-1.7780541,0.6097318,2.496089,Good
1.2775885,2.064319,-0.14597735,-2.1894975,-0.29149663,3.1445234,1.5832014,Good
0.81320274,0.6595437,0.7825623,-3.3102274,-0.28911766,4.572766,-0.37966096,Good
0.05418704,2.2706356,3.539384,-0.8143026,-2.2390342,0.10064654,1.5483972,Good
-1.0602585,2.6419249,0.56155205,-0.5174054,-0.84272516,1.8707907,2.0033648,Good
-0.76401794,0.3623507,2.5921612,0.23266202,-1.5511798,0.040990207,3.0356536,Good
-0.19275926,2.3332498,2.2750895,-1.835586,-0.32808205,3.0912902,3.0695364,Good
-2.307549,4.2682085,1.7684859,1.4414307,-1.9176039,-0.13850893,1.8163822,Good
-2.235228,2.086115,1.5581323,-0.63985485,-0.8065315,1.6078132,0.9669991,Good
-2.2399275,0.34970486,-1.0209738,-3.189852,-0.2015989,2.782064,3.4498534,Good
-1.0939649,2.115486,0.627494,-3.010946,-0.87893283,3.5145106,1.2870898,Good
-1.5848736,0.11412693,2.6413124,-1.5674331,-3.017377,1.7166394,2.8590853,Good
1.301885,2.1030438,2.0964906,-3.0808299,-0.20849186,3.0708973,3.2798793,Good
-1.8029919,1.090242,4.598802,-0.41859818,-2.0706336,-0.6700485,0.80425745,Good
-0.7785211,2.661888,2.2465212,-0.06694054,0.19072337,0.21199536,5.7911854,Good
-1.8070496,2.2535233,0.77893764,-2.177644,-1.1563478,1.8797076,-0.59566134,Good
-0.55796605,4.5616794,3.118131,0.2906523,0.62079465,1.1600988,3.225704,Good
-4.202988,0.6919126,-2.0484893,-3.467168,-1.7508391,2.3759565,-1.2997978,Good
-2.4109044,0.59545654,0.50815797,-1.4031982,-1.9819083,-1.2064563,2.3628628,Good
-1.5973054,2.6318626,2.7658656,-0.59794694,-0.90556407,1.7743361,1.3934853,Good
-0.513809,3.7907465,2.958101,0.075105496,0.7074974,1.3386183,1.7701725,Good
0.2826704,1.7075797,1.9392766,-0.56809497,1.0187624,1.1955215,1.6833619,Good
